tanggal,namaBisnis,modal,pemasukan,pengeluaran,jamOperasional,jenisBisnis,status,keuntungan,kerugian,bisnisAddress,isDigital,hasWebsite,jenisBisnisEncoded,predicted_status,predicted_keuntungan,predicted_kerugian
2025-07-09,Sentra Loka,4614499,6381026,818511,11,Kerajinan & Produk Lokal,1,1766527,0,"Jl. Pelaku Usaha No. 11, Jakarta",0,0,3,0,453842,1476
2025-07-09,Rancang Sejahtera,17798951,14073842,1360167,11,Properti & Kontraktor,0,0,3725109,"Jl. Pelaku Usaha No. 12, Surabaya",0,0,7,1,-55999,98928
2025-07-09,Teh & Cerita,9584310,12753295,650788,10,F&B,1,3168985,0,"Jl. Pelaku Usaha No. 13, Medan",0,0,1,1,851994,5096
2025-07-09,BitNusa,12145905,17338313,1508974,7,Digital & Teknologi,1,5192408,0,"Jl. Pelaku Usaha No. 14, Yogyakarta",1,0,0,1,1420657,12643
2025-07-09,Bangun Cerita,16930387,21681570,3825468,9,Properti & Kontraktor,1,4751183,0,"Jl. Pelaku Usaha No. 15, Semarang",0,0,7,1,1292928,10662
2025-07-09,Data Cerah,17164452,21225174,3804514,3,Digital & Teknologi,1,4060722,0,"Jl. Pelaku Usaha No. 16, Surabaya",1,1,0,1,1107580,9187
2025-07-09,NusaTrip,10372018,15581677,3787709,9,Travel & Pariwisata,1,5209659,0,"Jl. Pelaku Usaha No. 17, Jakarta",0,0,9,0,1424379,12407
2025-07-09,Rasa Pagi,9982181,9429433,1787754,11,F&B,0,0,552748,"Jl. Pelaku Usaha No. 18, Surabaya",0,0,1,1,-2772,2623
2025-07-09,Studio Karsa,14996573,24716477,2778844,5,Kreatif & Desain,1,9719904,0,"Jl. Pelaku Usaha No. 19, Bandung",1,1,5,0,2694144,28484
2025-07-09,Tata Griya,18342386,19716525,1269686,12,Properti & Kontraktor,1,1374139,0,"Jl. Pelaku Usaha No. 20, Surabaya",0,0,7,1,327292,985
2025-07-09,Rupa Sejiwa,6884704,2201084,670660,10,Kesehatan & Kecantikan,0,0,4683620,"Jl. Pelaku Usaha No. 21, Bandung",0,0,4,0,-73962,133787
2025-07-09,Lahan Asa,8618239,18292884,2348399,10,Properti & Kontraktor,1,9674645,0,"Jl. Pelaku Usaha No. 22, Jakarta",0,1,7,1,2665161,28154
2025-07-09,Loka Bambu,1081014,7996842,2551628,11,Kerajinan & Produk Lokal,1,6915828,0,"Jl. Pelaku Usaha No. 23, Jakarta",0,1,3,0,1909627,18821
2025-07-09,Bangun Cerita,7337288,6028963,3868260,9,Properti & Kontraktor,0,0,1308325,"Jl. Pelaku Usaha No. 24, Jakarta",0,0,7,1,-16237,21068
2025-07-09,Rasa Pagi,13969968,21494112,1401444,11,F&B,1,7524144,0,"Jl. Pelaku Usaha No. 25, Surabaya",0,1,1,1,2068434,20630
2025-07-09,Langkah Cerah,12318574,7505690,2336331,8,Pendidikan & Pelatihan,0,0,4812884,"Jl. Pelaku Usaha No. 26, Medan",0,1,6,1,-74405,134942
2025-07-09,Tamasya Cerah,6323079,1331144,3603309,10,Travel & Pariwisata,0,0,4991935,"Jl. Pelaku Usaha No. 27, Surabaya",0,1,9,0,-78854,140820
2025-07-09,Rancang Sejahtera,12224218,20563673,3286260,8,Properti & Kontraktor,1,8339455,0,"Jl. Pelaku Usaha No. 28, Medan",0,0,7,1,2291044,23431
2025-07-09,Tamasya Cerah,12788822,17607027,4383329,10,Travel & Pariwisata,1,4818205,0,"Jl. Pelaku Usaha No. 29, Bandung",0,0,9,0,1313322,10942
2025-07-09,Dapur Loka,6671995,11099603,2101301,8,F&B,1,4427608,0,"Jl. Pelaku Usaha No. 30, Bandung",0,0,1,1,1215104,9843
2025-07-09,Hijab Pelita,1097759,8305789,4705438,8,Fashion & Gaya Hidup,1,7208030,0,"Jl. Pelaku Usaha No. 31, Jakarta",0,0,2,1,1996619,19934
2025-07-09,Bangun Cerita,2010771,-1654551,1556457,8,Properti & Kontraktor,0,0,3665322,"Jl. Pelaku Usaha No. 32, Bandung",0,0,7,1,-55225,99346
2025-07-09,Tata Griya,13654099,21862276,1165748,8,Properti & Kontraktor,1,8208177,0,"Jl. Pelaku Usaha No. 33, Yogyakarta",0,1,7,1,2256011,22916
2025-07-09,Mitra Langit,9262311,4833934,2940223,10,Travel & Pariwisata,0,0,4428377,"Jl. Pelaku Usaha No. 34, Bandung",0,0,9,0,-68444,121531
2025-07-09,Data Cerah,12403076,20036115,3301635,11,Digital & Teknologi,1,7633039,0,"Jl. Pelaku Usaha No. 35, Semarang",1,0,0,1,2105863,21263
2025-07-09,Rupa Sejiwa,2786345,10671485,1875429,8,Kesehatan & Kecantikan,1,7885140,0,"Jl. Pelaku Usaha No. 36, Medan",0,0,4,0,2171400,22104
2025-07-09,Bentuk Cerita,12472749,16161921,2868735,3,Kreatif & Desain,1,3689172,0,"Jl. Pelaku Usaha No. 37, Medan",1,0,5,0,995271,7293
2025-07-09,Langit Busana,15330082,14133991,3416739,8,Fashion & Gaya Hidup,0,0,1196091,"Jl. Pelaku Usaha No. 38, Semarang",0,0,2,1,-13706,16994
2025-07-09,Belanja Pintar,2707092,9109109,2176880,9,Retail & Toko Serba Ada,1,6402017,0,"Jl. Pelaku Usaha No. 39, Bandung",0,1,8,1,1759805,16898
2025-07-09,Toko PastiAda,19857562,27842846,2432452,8,Retail & Toko Serba Ada,1,7985284,0,"Jl. Pelaku Usaha No. 40, Makassar",0,1,8,1,2192620,22008
2025-07-09,Dapur Loka,8318188,12730047,4092378,10,F&B,1,4411859,0,"Jl. Pelaku Usaha No. 41, Jakarta",0,0,1,1,1210925,9780
2025-07-09,Langkah Cerah,11001016,10224764,908693,13,Pendidikan & Pelatihan,0,0,776252,"Jl. Pelaku Usaha No. 42, Semarang",0,1,6,1,-7603,7838
2025-07-09,Sehat Sentosa,15709553,24859189,2524909,8,Kesehatan & Kecantikan,1,9149636,0,"Jl. Pelaku Usaha No. 43, Jakarta",0,0,4,0,2513462,26217
2025-07-09,Harga Loka,4952771,1542573,1261201,10,Retail & Toko Serba Ada,0,0,3410198,"Jl. Pelaku Usaha No. 44, Bandung",0,1,8,1,-51591,92231
2025-07-09,Kriya Kita,5468363,5975329,2502824,10,Kerajinan & Produk Lokal,1,506966,0,"Jl. Pelaku Usaha No. 45, Medan",0,1,3,1,117866,335
2025-07-09,Belanja Pintar,18037781,14522869,4327983,8,Retail & Toko Serba Ada,0,0,3514912,"Jl. Pelaku Usaha No. 46, Bandung",0,0,8,1,-52901,89876
2025-07-09,Hijab Pelita,7587249,13047824,869643,9,Fashion & Gaya Hidup,1,5460575,0,"Jl. Pelaku Usaha No. 47, Medan",0,1,2,1,1491453,13635
2025-07-09,RumaRaya,19341498,25161428,571783,8,Retail & Toko Serba Ada,1,5819930,0,"Jl. Pelaku Usaha No. 48, Medan",0,0,8,1,1579923,14326
2025-07-09,Sambal Senja,18391825,24734153,3067654,8,F&B,1,6342328,0,"Jl. Pelaku Usaha No. 49, Medan",0,1,1,1,1748230,16520
2025-07-09,Citra Akar,19166918,14335983,4745423,4,Kreatif & Desain,0,0,4830935,"Jl. Pelaku Usaha No. 50, Medan",1,1,5,0,-76599,133795
2025-07-09,Citra Akar,7684012,7625747,1015729,2,Kreatif & Desain,0,0,58265,"Jl. Pelaku Usaha No. 51, Yogyakarta",1,0,5,0,25491,143
2025-07-09,Koding Karya,17136787,22116351,1860303,7,Digital & Teknologi,1,4979564,0,"Jl. Pelaku Usaha No. 52, Semarang",1,0,0,1,1356505,11809
2025-07-09,Dapur Loka,1595958,11590368,3933863,9,F&B,1,9994410,0,"Jl. Pelaku Usaha No. 53, Semarang",0,0,1,1,2763491,29610
2025-07-09,Rancang Sejahtera,19260096,24521754,526156,9,Properti & Kontraktor,1,5261658,0,"Jl. Pelaku Usaha No. 54, Makassar",0,0,7,1,1424413,12332
2025-07-09,Bentuk Cerita,2355596,-1944654,3924981,7,Kreatif & Desain,0,0,4300250,"Jl. Pelaku Usaha No. 55, Surabaya",1,0,5,1,-67984,119336
2025-07-09,Langgananku,3316018,1065333,4981915,10,Retail & Toko Serba Ada,0,0,2250685,"Jl. Pelaku Usaha No. 56, Makassar",0,0,8,1,-32606,51137
2025-07-09,Mitra Langit,19760747,19779010,2472211,10,Travel & Pariwisata,1,18263,0,"Jl. Pelaku Usaha No. 57, Yogyakarta",0,0,9,0,33982,65
2025-07-09,Jejak Digital,13972966,23334351,1798604,9,Digital & Teknologi,1,9361385,0,"Jl. Pelaku Usaha No. 58, Yogyakarta",1,0,0,1,2581676,27229
2025-07-09,Jajan Jadoel,6898911,10871032,4445662,11,F&B,1,3972121,0,"Jl. Pelaku Usaha No. 59, Jakarta",0,1,1,1,1087005,8345
2025-07-09,Sambal Senja,8173268,14131347,1283092,8,F&B,1,5958079,0,"Jl. Pelaku Usaha No. 60, Semarang",0,0,1,1,1635466,15303
2025-07-09,Langkah Cerah,5878909,11765519,3884427,6,Pendidikan & Pelatihan,1,5886610,0,"Jl. Pelaku Usaha No. 61, Semarang",0,0,6,1,1626614,15068
2025-07-09,Teh & Cerita,12635707,8042319,3662900,12,F&B,0,0,4593388,"Jl. Pelaku Usaha No. 62, Makassar",0,1,1,1,-70608,127117
2025-07-09,Langkah Cerah,19568111,28754220,3530444,16,Pendidikan & Pelatihan,1,9186109,0,"Jl. Pelaku Usaha No. 63, Bandung",0,1,6,1,2515311,26146
2025-07-09,NusaCloud,7479390,16591886,3226186,1,Digital & Teknologi,1,9112496,0,"Jl. Pelaku Usaha No. 64, Bandung",1,1,0,0,2546099,26770
2025-07-09,Toko PastiAda,16918027,21175265,4914052,9,Retail & Toko Serba Ada,1,4257238,0,"Jl. Pelaku Usaha No. 65, Surabaya",0,1,8,1,1150545,8997
2025-07-09,Toko PastiAda,3775971,8180772,4488365,10,Retail & Toko Serba Ada,1,4404801,0,"Jl. Pelaku Usaha No. 66, Semarang",0,0,8,1,1202721,9675
2025-07-09,Karya Warna,4280176,2638004,2480676,8,Kerajinan & Produk Lokal,0,0,1642172,"Jl. Pelaku Usaha No. 67, Jakarta",0,1,3,0,-22592,35761
2025-07-09,RumaRaya,5057345,3608159,1277045,10,Retail & Toko Serba Ada,0,0,1449186,"Jl. Pelaku Usaha No. 68, Bandung",0,0,8,1,-17800,27416
2025-07-09,Jajan Jadoel,16186001,20828186,1084789,12,F&B,1,4642185,0,"Jl. Pelaku Usaha No. 69, Bandung",0,0,1,1,1260587,10299
2025-07-09,BitNusa,5024421,6065562,3173706,3,Digital & Teknologi,1,1041141,0,"Jl. Pelaku Usaha No. 70, Jakarta",1,1,0,1,252411,907
2025-07-09,Langkah Cerah,2519008,7363652,2283087,15,Pendidikan & Pelatihan,1,4844644,0,"Jl. Pelaku Usaha No. 71, Bandung",0,0,6,1,1312153,11192
2025-07-09,Toko PastiAda,14730528,14730842,1568243,9,Retail & Toko Serba Ada,1,314,0,"Jl. Pelaku Usaha No. 72, Surabaya",0,0,8,1,32606,57
2025-07-09,Rancang Sejahtera,13396197,21838659,2963624,10,Properti & Kontraktor,1,8442462,0,"Jl. Pelaku Usaha No. 73, Semarang",0,0,7,1,2313813,23716
2025-07-09,Langkah Loka,14105704,17146769,3486611,9,Travel & Pariwisata,1,3041065,0,"Jl. Pelaku Usaha No. 74, Yogyakarta",0,0,9,0,809070,4474
2025-07-09,Rancak Raya,15164819,20336999,1423797,9,Fashion & Gaya Hidup,1,5172180,0,"Jl. Pelaku Usaha No. 75, Medan",0,0,2,1,1413102,12270
2025-07-09,Langgananku,9488985,12018863,1227519,10,Retail & Toko Serba Ada,1,2529878,0,"Jl. Pelaku Usaha No. 76, Bandung",0,0,8,1,662948,2689
2025-07-09,Toko PastiAda,18458940,24502035,3048812,8,Retail & Toko Serba Ada,1,6043095,0,"Jl. Pelaku Usaha No. 77, Surabaya",0,0,8,1,1650830,15223
2025-07-09,Klinik Asa,6826372,10002374,1804215,8,Kesehatan & Kecantikan,1,3176002,0,"Jl. Pelaku Usaha No. 78, Surabaya",0,0,4,0,857657,5179
2025-07-09,Langgananku,18814181,21357972,2602433,10,Retail & Toko Serba Ada,1,2543791,0,"Jl. Pelaku Usaha No. 79, Yogyakarta",0,0,8,1,662247,2582
2025-07-09,IdeLokal,6671093,15022837,622010,7,Kreatif & Desain,1,8351744,0,"Jl. Pelaku Usaha No. 80, Makassar",1,1,5,1,2308343,23865
2025-07-09,Lini Rupa,3879221,5114738,2995479,10,Fashion & Gaya Hidup,1,1235517,0,"Jl. Pelaku Usaha No. 81, Bandung",0,1,2,1,302991,981
2025-07-09,Klinik Asa,5022906,5283786,3354958,9,Kesehatan & Kecantikan,1,260880,0,"Jl. Pelaku Usaha No. 82, Medan",0,1,4,1,69769,189
2025-07-09,Jajan Jadoel,4852659,14323682,4078545,12,F&B,1,9471023,0,"Jl. Pelaku Usaha No. 83, Medan",0,1,1,1,2620087,27711
2025-07-09,Langit Busana,5447381,5264403,4273478,8,Fashion & Gaya Hidup,0,0,182978,"Jl. Pelaku Usaha No. 84, Jakarta",0,1,2,1,9887,77
2025-07-09,NusaCloud,1392248,-2602198,2032163,10,Digital & Teknologi,0,0,3994446,"Jl. Pelaku Usaha No. 85, Medan",1,0,0,1,-63637,112339
2025-07-09,Asa Cendekia,9687983,17274488,3245762,20,Pendidikan & Pelatihan,1,7586505,0,"Jl. Pelaku Usaha No. 86, Yogyakarta",0,1,6,0,2071827,20734
2025-07-09,Tamasya Cerah,17801667,16791951,3491370,10,Travel & Pariwisata,0,0,1009716,"Jl. Pelaku Usaha No. 87, Bandung",0,1,9,0,-10854,10891
2025-07-09,Lini Rupa,8992555,7149171,4902164,10,Fashion & Gaya Hidup,0,0,1843384,"Jl. Pelaku Usaha No. 88, Medan",0,0,2,1,-25466,37858
2025-07-09,Sambal Senja,11483862,16103214,2019965,10,F&B,1,4619352,0,"Jl. Pelaku Usaha No. 89, Jakarta",0,1,1,1,1261407,10547
2025-07-09,Rasa Pagi,15490131,17272690,2502963,12,F&B,1,1782559,0,"Jl. Pelaku Usaha No. 90, Medan",0,1,1,1,452278,1496
2025-07-09,Lini Rupa,5537317,1756660,4525778,10,Fashion & Gaya Hidup,0,0,3780657,"Jl. Pelaku Usaha No. 91, Jakarta",0,1,2,1,-57650,101741
2025-07-09,Belanja Pintar,17021282,18567472,2939895,9,Retail & Toko Serba Ada,1,1546190,0,"Jl. Pelaku Usaha No. 92, Bandung",0,1,8,1,376397,1206
2025-07-09,Asa Cendekia,18477087,28277483,2312504,10,Pendidikan & Pelatihan,1,9800396,0,"Jl. Pelaku Usaha No. 93, Bandung",0,1,6,1,2693604,28376
2025-07-09,Tamasya Cerah,8753277,12482271,1520349,8,Travel & Pariwisata,1,3728994,0,"Jl. Pelaku Usaha No. 94, Makassar",0,1,9,0,998371,7197
2025-07-09,Sambal Senja,10972797,8841760,4168500,9,F&B,0,0,2131037,"Jl. Pelaku Usaha No. 95, Jakarta",0,0,1,1,-29794,47324
2025-07-09,Rupa Nusantara,17271248,24166531,1292569,12,Kerajinan & Produk Lokal,1,6895283,0,"Jl. Pelaku Usaha No. 96, Medan",0,1,3,0,1887572,18288
2025-07-09,Lahan Asa,1117972,-2014687,4783364,11,Properti & Kontraktor,0,0,3132659,"Jl. Pelaku Usaha No. 97, Makassar",0,1,7,1,-47689,81199
2025-07-09,Langkah Cerah,18811629,17837027,3177135,15,Pendidikan & Pelatihan,0,0,974602,"Jl. Pelaku Usaha No. 98, Makassar",0,0,6,1,-10305,10115
2025-07-09,Citra Akar,11255737,10543922,2488281,10,Kreatif & Desain,0,0,711815,"Jl. Pelaku Usaha No. 99, Makassar",1,0,5,1,-6144,5767
2025-07-09,Rumah Kita,8313231,8056710,3219370,10,Properti & Kontraktor,0,0,256521,"Jl. Pelaku Usaha No. 100, Makassar",0,0,7,1,5495,52
2025-06-25,IdeLokal,5458784,11096625,3844218,19,Kreatif & Desain,1,5637841,0,"Jl. Pelaku Usaha No. 101, Medan",1,1,5,0,1535058,14429
2025-06-25,Klinik Asa,10136487,14256266,4932699,9,Kesehatan & Kecantikan,1,4119779,0,"Jl. Pelaku Usaha No. 102, Yogyakarta",0,1,4,1,1124284,8767
2025-06-25,Rupa Nusantara,15891309,22489732,3900602,10,Kerajinan & Produk Lokal,1,6598423,0,"Jl. Pelaku Usaha No. 103, Bandung",0,0,3,1,1809545,17362
2025-06-25,Kelas Rakyat,6933917,5630837,4491584,20,Pendidikan & Pelatihan,0,0,1303080,"Jl. Pelaku Usaha No. 104, Semarang",0,1,6,0,-17442,21926
2025-06-25,Pelita Cita,15625771,13046426,4335956,20,Pendidikan & Pelatihan,0,0,2579345,"Jl. Pelaku Usaha No. 105, Surabaya",0,0,6,0,-39479,61231
2025-06-25,Rumah Kita,11277337,13530597,4856827,8,Properti & Kontraktor,1,2253260,0,"Jl. Pelaku Usaha No. 106, Makassar",0,1,7,1,585397,2272
2025-06-25,Laras Care,16077463,17448501,2069730,8,Kesehatan & Kecantikan,1,1371038,0,"Jl. Pelaku Usaha No. 107, Surabaya",0,1,4,0,331771,1050
2025-06-25,Langkah Loka,19022596,16820024,835334,9,Travel & Pariwisata,0,0,2202572,"Jl. Pelaku Usaha No. 108, Makassar",0,1,9,0,-30754,51169
2025-06-25,Sehat Sentosa,18735773,27878297,4216361,9,Kesehatan & Kecantikan,1,9142524,0,"Jl. Pelaku Usaha No. 109, Medan",0,1,4,1,2521683,26210
2025-06-25,Langgananku,18585386,24253604,2119993,9,Retail & Toko Serba Ada,1,5668218,0,"Jl. Pelaku Usaha No. 110, Bandung",0,0,8,1,1542823,13829
2025-06-25,Mitra Langit,4196361,12381607,4161473,10,Travel & Pariwisata,1,8185246,0,"Jl. Pelaku Usaha No. 111, Medan",0,1,9,0,2260080,23086
2025-06-25,Mitra Langit,6980991,6685256,4153245,9,Travel & Pariwisata,0,0,295735,"Jl. Pelaku Usaha No. 112, Medan",0,1,9,0,100,606
2025-06-25,Klinik Asa,10593466,13086228,3024968,8,Kesehatan & Kecantikan,1,2492762,0,"Jl. Pelaku Usaha No. 113, Bandung",0,0,4,0,663345,2756
2025-06-25,Lini Rupa,9245534,15551611,2421633,8,Fashion & Gaya Hidup,1,6306077,0,"Jl. Pelaku Usaha No. 114, Yogyakarta",0,0,2,1,1733950,16514
2025-06-25,Langit Busana,11531839,16670679,3315502,8,Fashion & Gaya Hidup,1,5138840,0,"Jl. Pelaku Usaha No. 115, Yogyakarta",0,1,2,1,1411805,12393
2025-06-25,Langkah Loka,14436512,10078725,1629481,9,Travel & Pariwisata,0,0,4357787,"Jl. Pelaku Usaha No. 116, Surabaya",0,0,9,0,-66570,119320
2025-06-25,Dapur Loka,3995808,13109359,3124032,10,F&B,1,9113551,0,"Jl. Pelaku Usaha No. 117, Makassar",0,1,1,1,2522693,26488
2025-06-25,Harga Loka,8195596,5507499,1955588,8,Retail & Toko Serba Ada,0,0,2688097,"Jl. Pelaku Usaha No. 118, Jakarta",0,0,8,1,-38276,66138
2025-06-25,Sentra Loka,3645017,12145324,3244312,11,Kerajinan & Produk Lokal,1,8500307,0,"Jl. Pelaku Usaha No. 119, Surabaya",0,0,3,0,2340574,24246
2025-06-25,Klinik Asa,19041206,22314876,3560525,9,Kesehatan & Kecantikan,1,3273670,0,"Jl. Pelaku Usaha No. 120, Makassar",0,0,4,1,877921,5353
2025-06-25,Kriya Kita,5936032,1380811,4819621,11,Kerajinan & Produk Lokal,0,0,4555221,"Jl. Pelaku Usaha No. 121, Semarang",0,0,3,0,-71914,126022
2025-06-25,Lahan Asa,3932364,2165953,1212948,8,Properti & Kontraktor,0,0,1766411,"Jl. Pelaku Usaha No. 122, Semarang",0,1,7,1,-24710,40412
2025-06-25,Lini Rupa,6970203,5762453,4102281,10,Fashion & Gaya Hidup,0,0,1207750,"Jl. Pelaku Usaha No. 123, Yogyakarta",0,1,2,1,-15445,20019
2025-06-25,Rumah Kita,1497194,5228677,4322709,12,Properti & Kontraktor,1,3731483,0,"Jl. Pelaku Usaha No. 124, Surabaya",0,0,7,1,1012608,7250
2025-06-25,Bentuk Cerita,13690289,14317820,1197126,13,Kreatif & Desain,1,627531,0,"Jl. Pelaku Usaha No. 125, Surabaya",1,0,5,0,131797,387
2025-06-25,Teh & Cerita,16110755,25102193,2192345,11,F&B,1,8991438,0,"Jl. Pelaku Usaha No. 126, Makassar",0,0,1,1,2466033,25667
2025-06-25,Langkah Loka,15216178,22140440,2035289,10,Travel & Pariwisata,1,6924262,0,"Jl. Pelaku Usaha No. 127, Bandung",0,1,9,0,1896171,18352
2025-06-25,Harga Loka,8524464,6206727,1680560,9,Retail & Toko Serba Ada,0,0,2317737,"Jl. Pelaku Usaha No. 128, Semarang",0,0,8,1,-32193,54460
2025-06-25,Langkah Cerah,11600794,17039976,4396820,2,Pendidikan & Pelatihan,1,5439182,0,"Jl. Pelaku Usaha No. 129, Semarang",0,1,6,0,1507536,13483
2025-06-25,IdeLokal,13628047,20201304,599354,7,Kreatif & Desain,1,6573257,0,"Jl. Pelaku Usaha No. 130, Bandung",1,1,5,1,1800795,17651
2025-06-25,NusaTrip,10086422,8114837,3719259,10,Travel & Pariwisata,0,0,1971585,"Jl. Pelaku Usaha No. 131, Jakarta",0,0,9,0,-27472,41934
2025-06-25,Rupa Sejiwa,3424651,1501611,2773850,9,Kesehatan & Kecantikan,0,0,1923040,"Jl. Pelaku Usaha No. 132, Bandung",0,1,4,1,-27347,44459
2025-06-25,Rumah Kita,11043383,10172218,561494,12,Properti & Kontraktor,0,0,871165,"Jl. Pelaku Usaha No. 133, Semarang",0,1,7,1,-9497,10879
2025-06-25,Lini Rupa,5551054,6094666,1267445,9,Fashion & Gaya Hidup,1,543612,0,"Jl. Pelaku Usaha No. 134, Yogyakarta",0,0,2,1,131376,339
2025-06-25,Jalan Jelajah,18719668,16541998,2094654,10,Travel & Pariwisata,0,0,2177670,"Jl. Pelaku Usaha No. 135, Surabaya",0,1,9,0,-30522,49301
2025-06-25,IdeLokal,2666252,8908604,3877230,16,Kreatif & Desain,1,6242352,0,"Jl. Pelaku Usaha No. 136, Semarang",1,0,5,0,1708049,16452
2025-06-25,Bimbingan Cerita,10502110,15593436,3211824,15,Pendidikan & Pelatihan,1,5091326,0,"Jl. Pelaku Usaha No. 137, Bandung",0,0,6,1,1381025,11936
2025-06-25,Rancak Raya,8435135,15483008,1910050,10,Fashion & Gaya Hidup,1,7047873,0,"Jl. Pelaku Usaha No. 138, Surabaya",0,0,2,1,1934230,19065
2025-06-25,Rasa Pagi,11736480,17041027,4574265,10,F&B,1,5304547,0,"Jl. Pelaku Usaha No. 139, Makassar",0,0,1,1,1460284,12943
2025-06-25,Jalan Jelajah,2097403,6219979,2513205,10,Travel & Pariwisata,1,4122576,0,"Jl. Pelaku Usaha No. 140, Bandung",0,0,9,0,1117368,8585
2025-06-25,Bangun Cerita,12411826,21971672,4129107,10,Properti & Kontraktor,1,9559846,0,"Jl. Pelaku Usaha No. 141, Makassar",0,1,7,1,2636206,27724
2025-06-25,Rupa Nusantara,11082108,19390610,1727835,10,Kerajinan & Produk Lokal,1,8308502,0,"Jl. Pelaku Usaha No. 142, Jakarta",0,1,3,1,2288145,23412
2025-06-25,Rupa Nusantara,15567523,24370996,2058951,8,Kerajinan & Produk Lokal,1,8803473,0,"Jl. Pelaku Usaha No. 143, Medan",0,0,3,0,2417513,25023
2025-06-25,Sehat Sentosa,17620654,26441437,1867293,9,Kesehatan & Kecantikan,1,8820783,0,"Jl. Pelaku Usaha No. 144, Surabaya",0,1,4,1,2426142,25035
2025-06-25,Rupa Sejiwa,16820619,23797983,4798056,9,Kesehatan & Kecantikan,1,6977364,0,"Jl. Pelaku Usaha No. 145, Yogyakarta",0,0,4,1,1917242,18683
2025-06-25,CantikNusa,11789529,16105065,516424,10,Kesehatan & Kecantikan,1,4315536,0,"Jl. Pelaku Usaha No. 146, Yogyakarta",0,0,4,0,1168054,9149
2025-06-25,Mitra Langit,16998390,12310278,3827630,8,Travel & Pariwisata,0,0,4688112,"Jl. Pelaku Usaha No. 147, Bandung",0,1,9,0,-72053,128149
2025-06-25,Rumah Kita,10294513,10326616,1291233,10,Properti & Kontraktor,1,32103,0,"Jl. Pelaku Usaha No. 148, Surabaya",0,1,7,1,27240,53
2025-06-25,Rancak Raya,18189727,13760811,2655058,9,Fashion & Gaya Hidup,0,0,4428916,"Jl. Pelaku Usaha No. 149, Makassar",0,0,2,1,-68431,121633
2025-06-25,Warna Rasa,14505020,22930207,2979851,6,Kreatif & Desain,1,8425187,0,"Jl. Pelaku Usaha No. 150, Surabaya",1,1,5,0,2334071,23991
2025-06-25,Belanja Pintar,17047412,17250530,4012540,10,Retail & Toko Serba Ada,1,203118,0,"Jl. Pelaku Usaha No. 151, Surabaya",0,0,8,1,60598,135
2025-06-25,Bumi Perca,13510046,19162861,4785397,8,Fashion & Gaya Hidup,1,5652815,0,"Jl. Pelaku Usaha No. 152, Semarang",0,0,2,1,1560133,14158
2025-06-25,NusaTrip,14222992,17773800,4976507,10,Travel & Pariwisata,1,3550808,0,"Jl. Pelaku Usaha No. 153, Makassar",0,0,9,0,954235,6350
2025-06-25,Lini Rupa,13364844,19801205,4865859,9,Fashion & Gaya Hidup,1,6436361,0,"Jl. Pelaku Usaha No. 154, Yogyakarta",0,1,2,1,1780160,16993
2025-06-25,CantikNusa,8533704,15609539,4641447,10,Kesehatan & Kecantikan,1,7075835,0,"Jl. Pelaku Usaha No. 155, Yogyakarta",0,1,4,0,1957195,19256
2025-06-25,Rumah Kita,4785154,2134429,2766518,8,Properti & Kontraktor,0,0,2650725,"Jl. Pelaku Usaha No. 156, Bandung",0,1,7,1,-39260,66976
