tanggal,namaBisnis,modal,pemasukan,pengeluaran,jamOperasional,jenisBisnis,status,keuntungan,kerugian,bisnisAddress,isDigital,hasWebsite
2025-07-10,NusaCloud,17232595.93,23464215.14,2752247.89,10,Digital & Teknologi,1,6231619.21,0.0,"Jl. Pelaku Usaha No. 34, Lubuk Linggau",True,False
2025-07-10,Rancak Raya,1223472.89,-1225883.79,3333713.26,10,Fashion & Gaya Hidup,0,0.0,2449356.68,"Jl. Pelaku Usaha No. 35, Malang",False,True
2025-07-10,Bentuk Cerita,8060498.41,11323349.78,2674534.7,13,Kreatif & Desain,1,3262851.37,0.0,"Jl. Pelaku Usaha No. 36, Mataram",True,False
2025-07-10,Karya Warna,2241763.6,6074411.8,4478354.23,9,Kerajinan & Produk Lokal,1,3832648.2,0.0,"Jl. Pelaku Usaha No. 37, Cimahi",False,False
2025-07-10,Asa Cendekia,9050535.31,5256003.5,3961622.7,11,Pendidikan & Pelatihan,0,0.0,3794531.81,"Jl. Pelaku Usaha No. 38, Manado",False,False
2025-07-10,Rumah Kita,6833917.7,13322891.68,4394102.91,10,Properti & Kontraktor,1,6488973.98,0.0,"Jl. Pelaku Usaha No. 39, Depok",False,True
2025-07-10,Bumi Perca,16400411.17,15258540.77,1965115.83,9,Fashion & Gaya Hidup,0,0.0,1141870.4,"Jl. Pelaku Usaha No. 40, Manado",False,True
2025-07-10,NusaCloud,11575751.95,15561532.17,2636724.33,2,Digital & Teknologi,1,3985780.22,0.0,"Jl. Pelaku Usaha No. 41, Padang Sidempuan",True,False
2025-07-10,Langkah Loka,3820218.3,-993691.02,883440.09,9,Travel & Pariwisata,0,0.0,4813909.32,"Jl. Pelaku Usaha No. 42, Bengkulu",False,True
2025-07-10,IdeLokal,9878352.56,14190731.36,2122081.38,13,Kreatif & Desain,1,4312378.8,0.0,"Jl. Pelaku Usaha No. 43, Banda Aceh",True,True
2025-07-10,IdeLokal,12874526.39,15421271.72,4135859.51,11,Kreatif & Desain,1,2546745.33,0.0,"Jl. Pelaku Usaha No. 44, Serang",True,False
2025-07-10,Belanja Pintar,14469176.73,14647690.4,2096109.37,9,Retail & Toko Serba Ada,1,178513.67,0.0,"Jl. Pelaku Usaha No. 45, Pontianak",False,False
2025-07-10,Kelas Rakyat,11540169.75,11264113.46,1793943.84,8,Pendidikan & Pelatihan,0,0.0,276056.29,"Jl. Pelaku Usaha No. 46, Jayapura",False,False
2025-07-10,Dapur Loka,1875922.58,8973199.61,3642266.11,9,F&B,1,7097277.03,0.0,"Jl. Pelaku Usaha No. 47, Bekasi",False,True
2025-07-10,Rasa Pagi,12342146.36,10445528.72,1059441.93,8,F&B,0,0.0,1896617.64,"Jl. Pelaku Usaha No. 48, Sorong",False,True
2025-07-10,Dapur Loka,9561314.52,17987020.35,4591890.33,12,F&B,1,8425705.83,0.0,"Jl. Pelaku Usaha No. 49, Jakarta Selatan",False,False
2025-07-10,Lini Rupa,2558338.26,10325241.25,1608662.06,9,Fashion & Gaya Hidup,1,7766902.99,0.0,"Jl. Pelaku Usaha No. 50, Surakarta",False,True
2025-07-10,Toko PastiAda,15322196.34,24145094.31,2864767.07,10,Retail & Toko Serba Ada,1,8822897.97,0.0,"Jl. Pelaku Usaha No. 51, Bitung",False,False
2025-07-10,Lahan Asa,12303821.86,16164613.14,2728590.26,9,Properti & Kontraktor,1,3860791.28,0.0,"Jl. Pelaku Usaha No. 52, Balikpapan",False,False
2025-07-10,Lahan Asa,10076764.36,11272460.95,4763136.72,10,Properti & Kontraktor,1,1195696.59,0.0,"Jl. Pelaku Usaha No. 53, Dumai",False,True
2025-07-10,Citra Akar,10471256.63,12762027.73,4622057.32,4,Kreatif & Desain,1,2290771.1,0.0,"Jl. Pelaku Usaha No. 54, Denpasar",True,False
2025-07-10,Belanja Pintar,14589554.48,20524384.94,755933.8,9,Retail & Toko Serba Ada,1,5934830.46,0.0,"Jl. Pelaku Usaha No. 55, Pontianak",False,False
2025-07-10,Jejak Digital,16099539.41,26021237.68,3403069.13,16,Digital & Teknologi,1,9921698.27,0.0,"Jl. Pelaku Usaha No. 56, Jambi",True,False
2025-07-10,Harga Loka,13309856.7,13010724.38,3077814.48,10,Retail & Toko Serba Ada,0,0.0,299132.32,"Jl. Pelaku Usaha No. 57, Samarinda",False,True
2025-07-10,Jajan Jadoel,7467227.05,12380435.43,1116473.64,10,F&B,1,4913208.38,0.0,"Jl. Pelaku Usaha No. 58, Serang",False,False
2025-07-10,Dapur Loka,7093650.66,13996485.26,3828255.02,10,F&B,1,6902834.6,0.0,"Jl. Pelaku Usaha No. 59, Pematangsiantar",False,True
2025-07-10,Studio Karsa,16327148.31,24052690.28,1540592.1,5,Kreatif & Desain,1,7725541.97,0.0,"Jl. Pelaku Usaha No. 60, Ambon",True,True
2025-07-10,Studio Karsa,10731378.0,19638616.79,3341977.64,18,Kreatif & Desain,1,8907238.79,0.0,"Jl. Pelaku Usaha No. 61, Jakarta Timur",True,False
2025-07-10,Pelita Cita,9440764.23,14507671.49,3561965.86,17,Pendidikan & Pelatihan,1,5066907.26,0.0,"Jl. Pelaku Usaha No. 62, Cirebon",False,False
2025-07-10,Jajan Jadoel,16539650.88,24414450.52,3991631.56,8,F&B,1,7874799.64,0.0,"Jl. Pelaku Usaha No. 63, Tangerang",False,False
2025-07-10,Kelas Rakyat,16014578.86,23343556.19,3897956.04,17,Pendidikan & Pelatihan,1,7328977.33,0.0,"Jl. Pelaku Usaha No. 64, Jakarta",False,True
2025-07-10,Harga Loka,5883623.01,9899792.58,4888823.44,9,Retail & Toko Serba Ada,1,4016169.57,0.0,"Jl. Pelaku Usaha No. 65, Medan",False,False
2025-07-10,Lahan Asa,19647694.36,18150293.52,4503600.22,11,Properti & Kontraktor,0,0.0,1497400.84,"Jl. Pelaku Usaha No. 66, Madiun",False,True
2025-07-10,CantikNusa,2741839.16,3868766.52,4939678.02,10,Kesehatan & Kecantikan,1,1126927.36,0.0,"Jl. Pelaku Usaha No. 67, Palangka Raya",False,True
2025-07-10,NusaCloud,5784818.12,5576970.73,4831264.36,14,Digital & Teknologi,0,0.0,207847.39,"Jl. Pelaku Usaha No. 68, Balikpapan",True,True
2025-07-10,Bumi Perca,19599786.48,23778720.35,3842250.48,10,Fashion & Gaya Hidup,1,4178933.87,0.0,"Jl. Pelaku Usaha No. 69, Sorong",False,True
2025-07-10,Lahan Asa,16399550.07,26342847.46,2996459.44,10,Properti & Kontraktor,1,9943297.39,0.0,"Jl. Pelaku Usaha No. 70, Ambon",False,True
2025-07-10,Belanja Pintar,15868765.35,11482581.85,615137.09,10,Retail & Toko Serba Ada,0,0.0,4386183.5,"Jl. Pelaku Usaha No. 71, Cimahi",False,False
2025-07-10,Rancang Sejahtera,1163516.12,590955.25,3493668.48,10,Properti & Kontraktor,0,0.0,572560.87,"Jl. Pelaku Usaha No. 72, Bengkulu",False,True
2025-07-10,IdeLokal,19575078.49,25228030.12,618573.54,7,Kreatif & Desain,1,5652951.63,0.0,"Jl. Pelaku Usaha No. 73, Samarinda",True,False
2025-07-10,Asa Cendekia,1098788.95,9238637.57,2794762.3,8,Pendidikan & Pelatihan,1,8139848.62,0.0,"Jl. Pelaku Usaha No. 74, Mataram",False,False
2025-07-10,Data Cerah,13546420.79,14389832.29,3075618.43,20,Digital & Teknologi,1,843411.5,0.0,"Jl. Pelaku Usaha No. 75, Jayapura",True,False
2025-07-10,Rupa Sejiwa,3593765.73,10981493.5,3701832.05,10,Kesehatan & Kecantikan,1,7387727.77,0.0,"Jl. Pelaku Usaha No. 76, Mataram",False,True
2025-07-10,Rupa Sejiwa,16828913.15,18194880.75,4117660.44,10,Kesehatan & Kecantikan,1,1365967.6,0.0,"Jl. Pelaku Usaha No. 77, Sukabumi",False,False
2025-07-10,Rupa Nusantara,13859469.09,12382520.07,4277896.49,8,Kerajinan & Produk Lokal,0,0.0,1476949.02,"Jl. Pelaku Usaha No. 78, Sukabumi",False,False
2025-07-10,Warna Rasa,6971998.45,11933213.26,4374322.02,5,Kreatif & Desain,1,4961214.81,0.0,"Jl. Pelaku Usaha No. 79, Cilegon",True,False
2025-07-10,CantikNusa,7590102.42,7516110.06,3882628.74,8,Kesehatan & Kecantikan,0,0.0,73992.36,"Jl. Pelaku Usaha No. 80, Pekalongan",False,True
2025-07-10,Jejak Digital,3079869.97,111802.08,3878703.03,14,Digital & Teknologi,0,0.0,2968067.89,"Jl. Pelaku Usaha No. 81, Palu",True,False
2025-07-10,Harga Loka,5700997.76,12223054.43,3047975.21,10,Retail & Toko Serba Ada,1,6522056.67,0.0,"Jl. Pelaku Usaha No. 82, Pekanbaru",False,False
2025-07-10,Klinik Asa,11346264.59,16238883.13,4778965.88,9,Kesehatan & Kecantikan,1,4892618.54,0.0,"Jl. Pelaku Usaha No. 83, Surakarta",False,False
2025-07-10,Lini Rupa,1246785.38,9998555.38,1507505.74,8,Fashion & Gaya Hidup,1,8751770.0,0.0,"Jl. Pelaku Usaha No. 84, Jakarta Pusat",False,False
2025-07-10,Koding Karya,14160847.23,9372525.95,1405477.59,1,Digital & Teknologi,0,0.0,4788321.28,"Jl. Pelaku Usaha No. 85, Denpasar",True,False
2025-07-10,Lini Rupa,4164019.51,2239422.5,3641295.14,8,Fashion & Gaya Hidup,0,0.0,1924597.01,"Jl. Pelaku Usaha No. 86, Kediri",False,True
2025-07-10,CantikNusa,5517895.56,3020690.85,2778483.03,8,Kesehatan & Kecantikan,0,0.0,2497204.71,"Jl. Pelaku Usaha No. 87, Cimahi",False,True
2025-07-10,Sentra Loka,14659200.6,17767296.98,4076993.16,12,Kerajinan & Produk Lokal,1,3108096.38,0.0,"Jl. Pelaku Usaha No. 88, Depok",False,True
2025-07-10,Langgananku,1881419.0,9757231.5,3680495.36,8,Retail & Toko Serba Ada,1,7875812.5,0.0,"Jl. Pelaku Usaha No. 89, Kendari",False,True
2025-07-10,Rupa Nusantara,9372181.93,5337462.3,3647592.85,10,Kerajinan & Produk Lokal,0,0.0,4034719.63,"Jl. Pelaku Usaha No. 90, Gorontalo",False,True
2025-07-10,Tamasya Cerah,10430415.83,16942809.63,2893617.92,10,Travel & Pariwisata,1,6512393.8,0.0,"Jl. Pelaku Usaha No. 91, Bandung",False,False
2025-07-10,NusaTrip,6537268.45,14588825.21,1689220.97,10,Travel & Pariwisata,1,8051556.76,0.0,"Jl. Pelaku Usaha No. 92, Cimahi",False,False
2025-07-10,Sambal Senja,15607775.6,23897071.91,1079827.01,8,F&B,1,8289296.31,0.0,"Jl. Pelaku Usaha No. 93, Palangka Raya",False,False
2025-07-10,Pelita Cita,7442337.32,15383790.96,1437397.54,9,Pendidikan & Pelatihan,1,7941453.64,0.0,"Jl. Pelaku Usaha No. 94, Jakarta",False,True
2025-07-10,Laras Care,16421589.05,17598050.83,3617735.27,10,Kesehatan & Kecantikan,1,1176461.78,0.0,"Jl. Pelaku Usaha No. 95, Tangerang Selatan",False,False
2025-07-10,NusaCloud,4100326.14,1027808.01,3502336.78,20,Digital & Teknologi,0,0.0,3072518.13,"Jl. Pelaku Usaha No. 96, Jakarta Utara",True,True
2025-07-10,IdeLokal,2802771.35,-1392950.63,3504689.46,7,Kreatif & Desain,0,0.0,4195721.98,"Jl. Pelaku Usaha No. 97, Probolinggo",True,False
2025-07-10,Laras Care,9554482.06,5807136.54,523222.44,8,Kesehatan & Kecantikan,0,0.0,3747345.52,"Jl. Pelaku Usaha No. 98, Ternate",False,False
2025-07-10,NusaTrip,10596942.98,7026078.25,1838907.62,8,Travel & Pariwisata,0,0.0,3570864.73,"Jl. Pelaku Usaha No. 99, Makassar",False,True
2025-07-10,CantikNusa,8921545.98,6229237.01,3972489.47,8,Kesehatan & Kecantikan,0,0.0,2692308.97,"Jl. Pelaku Usaha No. 100, Pekalongan",False,True
2025-07-24,Kelas Rakyat,14153339.02,19750608.21,4312805.05,18,Pendidikan & Pelatihan,1,5597269.19,0.0,"Jl. Pelaku Usaha No. 101, Samarinda",False,True
2025-07-24,Koding Karya,1848957.18,10950317.45,1791591.18,17,Digital & Teknologi,1,9101360.27,0.0,"Jl. Pelaku Usaha No. 102, Dumai",True,False
2025-07-24,Rupa Nusantara,3239456.03,5427648.29,565650.4,8,Kerajinan & Produk Lokal,1,2188192.26,0.0,"Jl. Pelaku Usaha No. 103, Banjar",False,False
2025-07-24,Koding Karya,2043759.23,9532648.32,1678045.54,14,Digital & Teknologi,1,7488889.09,0.0,"Jl. Pelaku Usaha No. 104, Pontianak",True,False
2025-07-24,IdeLokal,8672953.53,4491087.21,2871694.6,2,Kreatif & Desain,0,0.0,4181866.32,"Jl. Pelaku Usaha No. 105, Manado",True,False
2025-07-24,Harga Loka,1117075.53,1116644.29,687826.23,9,Retail & Toko Serba Ada,0,0.0,431.24,"Jl. Pelaku Usaha No. 106, Banjarmasin",False,True
2025-07-24,Mitra Langit,16588038.25,17472703.47,1244345.02,8,Travel & Pariwisata,1,884665.22,0.0,"Jl. Pelaku Usaha No. 107, Kediri",False,False
2025-07-24,Toko PastiAda,1911487.58,7994103.21,2177746.7,8,Retail & Toko Serba Ada,1,6082615.63,0.0,"Jl. Pelaku Usaha No. 108, Medan",False,False
2025-07-24,Lahan Asa,3724771.36,657474.61,4967368.2,8,Properti & Kontraktor,0,0.0,3067296.75,"Jl. Pelaku Usaha No. 109, Pontianak",False,True
2025-07-24,Hijab Pelita,11419491.99,16481007.7,4774851.31,10,Fashion & Gaya Hidup,1,5061515.71,0.0,"Jl. Pelaku Usaha No. 110, Pontianak",False,False
2025-07-24,Rasa Pagi,8155781.69,7840942.67,573616.82,12,F&B,0,0.0,314839.02,"Jl. Pelaku Usaha No. 111, Mataram",False,False
2025-07-24,NusaCloud,12188483.77,22049042.88,509912.19,20,Digital & Teknologi,1,9860559.11,0.0,"Jl. Pelaku Usaha No. 112, Semarang",True,True
2025-07-24,Mitra Langit,8857519.95,18807344.0,4123308.05,9,Travel & Pariwisata,1,9949824.05,0.0,"Jl. Pelaku Usaha No. 113, Denpasar",False,True
2025-07-24,Jalan Jelajah,15780077.44,14149141.46,886162.29,9,Travel & Pariwisata,0,0.0,1630935.98,"Jl. Pelaku Usaha No. 114, Banjarmasin",False,True
2025-07-24,CantikNusa,5173585.54,5733025.31,1177798.01,8,Kesehatan & Kecantikan,1,559439.77,0.0,"Jl. Pelaku Usaha No. 115, Samarinda",False,True
2025-07-24,Teh & Cerita,5821320.56,12116243.37,1916481.66,10,F&B,1,6294922.81,0.0,"Jl. Pelaku Usaha No. 116, Madiun",False,True
2025-07-24,Langit Busana,4855725.51,7425618.45,4232955.9,10,Fashion & Gaya Hidup,1,2569892.94,0.0,"Jl. Pelaku Usaha No. 117, Pekanbaru",False,True
2025-07-24,Karya Warna,1758396.87,-2170582.59,3920287.51,11,Kerajinan & Produk Lokal,0,0.0,3928979.46,"Jl. Pelaku Usaha No. 118, Tangerang Selatan",False,True
2025-07-24,Data Cerah,19869277.58,26000791.19,3883934.74,12,Digital & Teknologi,1,6131513.61,0.0,"Jl. Pelaku Usaha No. 119, Jakarta Utara",True,True
2025-07-24,Data Cerah,17194440.75,20821149.78,2545369.55,2,Digital & Teknologi,1,3626709.03,0.0,"Jl. Pelaku Usaha No. 120, Binjai",True,True
2025-07-24,Hijab Pelita,6629549.04,14561642.99,805838.33,10,Fashion & Gaya Hidup,1,7932093.95,0.0,"Jl. Pelaku Usaha No. 121, Banda Aceh",False,True
2025-07-24,Klinik Asa,15105793.96,15936109.99,3882976.54,10,Kesehatan & Kecantikan,1,830316.03,0.0,"Jl. Pelaku Usaha No. 122, Ambon",False,False
2025-07-24,Kelas Rakyat,5908327.52,3627958.21,1927470.09,1,Pendidikan & Pelatihan,0,0.0,2280369.31,"Jl. Pelaku Usaha No. 123, Semarang",False,False
2025-07-24,Dapur Loka,4140495.33,6150001.46,2854060.7,12,F&B,1,2009506.13,0.0,"Jl. Pelaku Usaha No. 124, Pekanbaru",False,True
2025-07-24,Bimbingan Cerita,7441636.34,8687771.85,4820269.92,17,Pendidikan & Pelatihan,1,1246135.51,0.0,"Jl. Pelaku Usaha No. 125, Dumai",False,False
2025-07-24,Loka Bambu,18461631.23,21467106.0,1232991.05,8,Kerajinan & Produk Lokal,1,3005474.77,0.0,"Jl. Pelaku Usaha No. 126, Serang",False,False
2025-07-24,Tata Griya,13044211.83,15629756.79,4693528.39,11,Properti & Kontraktor,1,2585544.96,0.0,"Jl. Pelaku Usaha No. 127, Banda Aceh",False,True
2025-07-24,Langit Busana,11832533.72,20456104.88,1844123.53,8,Fashion & Gaya Hidup,1,8623571.16,0.0,"Jl. Pelaku Usaha No. 128, Tangerang Selatan",False,False
2025-07-24,Mitra Langit,14641114.63,12667438.75,3494567.64,9,Travel & Pariwisata,0,0.0,1973675.88,"Jl. Pelaku Usaha No. 129, Kupang",False,False
2025-07-24,Hijab Pelita,8002323.7,16638443.17,4383146.07,9,Fashion & Gaya Hidup,1,8636119.47,0.0,"Jl. Pelaku Usaha No. 130, Tegal",False,False
2025-07-24,Studio Karsa,8097947.95,14821778.63,2314398.01,16,Kreatif & Desain,1,6723830.68,0.0,"Jl. Pelaku Usaha No. 131, Salatiga",True,False
2025-07-24,Rancang Sejahtera,2101245.84,8677650.37,1164674.63,12,Properti & Kontraktor,1,6576404.53,0.0,"Jl. Pelaku Usaha No. 132, Surabaya",False,True
2025-07-24,Karya Warna,11230377.6,17252288.27,2719313.74,9,Kerajinan & Produk Lokal,1,6021910.67,0.0,"Jl. Pelaku Usaha No. 133, Ambon",False,True
2025-07-24,Belanja Pintar,13217507.0,8790667.33,1926737.34,9,Retail & Toko Serba Ada,0,0.0,4426839.67,"Jl. Pelaku Usaha No. 134, Kediri",False,False
2025-07-24,Karya Warna,15480995.98,22772658.14,3595009.45,8,Kerajinan & Produk Lokal,1,7291662.16,0.0,"Jl. Pelaku Usaha No. 135, Batu",False,True
2025-07-24,Jejak Digital,8841472.42,5985998.72,4961105.69,14,Digital & Teknologi,0,0.0,2855473.7,"Jl. Pelaku Usaha No. 136, Probolinggo",True,True
2025-07-24,Sehat Sentosa,17111466.17,20684726.43,3252156.98,10,Kesehatan & Kecantikan,1,3573260.26,0.0,"Jl. Pelaku Usaha No. 137, Pasuruan",False,True
2025-07-24,Langit Busana,15237395.78,23392526.61,1784074.7,8,Fashion & Gaya Hidup,1,8155130.83,0.0,"Jl. Pelaku Usaha No. 138, Mataram",False,True
2025-07-24,Loka Bambu,5029499.66,13761400.06,824022.67,12,Kerajinan & Produk Lokal,1,8731900.4,0.0,"Jl. Pelaku Usaha No. 139, Banjarmasin",False,False
2025-07-24,Sambal Senja,14881540.33,10100045.83,2726001.22,9,F&B,0,0.0,4781494.5,"Jl. Pelaku Usaha No. 140, Banda Aceh",False,False
2025-07-24,Data Cerah,5013468.73,8959184.85,3846369.92,6,Digital & Teknologi,1,3945716.12,0.0,"Jl. Pelaku Usaha No. 141, Lhokseumawe",True,False
2025-07-24,Jajan Jadoel,12493887.63,15884953.77,4294418.67,9,F&B,1,3391066.14,0.0,"Jl. Pelaku Usaha No. 142, Tarakan",False,False
2025-07-24,Tata Griya,7709141.44,13866136.87,1758135.22,12,Properti & Kontraktor,1,6156995.43,0.0,"Jl. Pelaku Usaha No. 143, Batam",False,False
2025-07-24,Warna Rasa,16173492.9,17222096.45,4580266.24,11,Kreatif & Desain,1,1048603.55,0.0,"Jl. Pelaku Usaha No. 144, Dumai",True,True
2025-07-24,IdeLokal,12352098.28,14380785.49,4293970.45,11,Kreatif & Desain,1,2028687.21,0.0,"Jl. Pelaku Usaha No. 145, Palu",True,True
2025-07-24,Harga Loka,19189597.49,22199559.58,4497798.62,8,Retail & Toko Serba Ada,1,3009962.09,0.0,"Jl. Pelaku Usaha No. 146, Jakarta Barat",False,False
2025-07-24,Rasa Pagi,19940540.02,25942201.6,3912859.67,11,F&B,1,6001661.58,0.0,"Jl. Pelaku Usaha No. 147, Bitung",False,True
2025-07-24,Langkah Cerah,19426310.34,15503130.07,3196671.71,12,Pendidikan & Pelatihan,0,0.0,3923180.27,"Jl. Pelaku Usaha No. 148, Malang",False,True
2025-07-24,Tamasya Cerah,19885242.98,22273623.45,3714009.12,9,Travel & Pariwisata,1,2388380.47,0.0,"Jl. Pelaku Usaha No. 149, Cilegon",False,True
2025-07-24,Langgananku,5238792.15,10725002.42,2551011.85,8,Retail & Toko Serba Ada,1,5486210.27,0.0,"Jl. Pelaku Usaha No. 150, Tangerang Selatan",False,True
2025-07-24,Jejak Digital,15542918.43,15279329.09,4095469.39,18,Digital & Teknologi,0,0.0,263589.34,"Jl. Pelaku Usaha No. 151, Kediri",True,True
2025-07-24,Sentra Loka,2803243.6,9884291.43,4679811.44,11,Kerajinan & Produk Lokal,1,7081047.83,0.0,"Jl. Pelaku Usaha No. 152, Bekasi",False,True
2025-07-24,NusaTrip,12882348.4,22376849.5,2113195.11,9,Travel & Pariwisata,1,9494501.1,0.0,"Jl. Pelaku Usaha No. 153, Tasikmalaya",False,True
2025-07-24,NusaTrip,1324762.46,-842116.01,610978.02,9,Travel & Pariwisata,0,0.0,2166878.47,"Jl. Pelaku Usaha No. 154, Tangerang",False,True
2025-07-24,Langgananku,5879273.36,3033081.64,1264146.69,9,Retail & Toko Serba Ada,0,0.0,2846191.72,"Jl. Pelaku Usaha No. 155, Samarinda",False,False
2025-07-24,Rancang Sejahtera,1643214.87,929550.99,1686933.98,11,Properti & Kontraktor,0,0.0,713663.88,"Jl. Pelaku Usaha No. 156, Semarang",False,True
2025-07-24,Sehat Sentosa,18638342.44,19985767.22,2579127.13,9,Kesehatan & Kecantikan,1,1347424.78,0.0,"Jl. Pelaku Usaha No. 157, Tanjungpinang",False,True
